address,top_rank,top_role,vote,chain,first_gas_funder_in_window,first_gas_timestamp_utc,first_gas_tx_hash,first_gas_value,all_incoming_native_count,all_incoming_native_total
0x79c8039c0cfbdc3cdf8d66efb1ad2836e698ea3c,46,delegate_hot_wallet,YES,polygon,,,,0.0,0,0.0
0x44a836d78305a80a45a203addd0fb82485dd16bb,47,staker,YES,ethereum,,,,0.0,0,0.0
0x44a836d78305a80a45a203addd0fb82485dd16bb,47,staker,YES,polygon,,,,0.0,0,0.0
0x841499f8f5f869c20886d581641dc181e9c6b672,47,delegate_hot_wallet,YES,ethereum,0x44a836d78305a80a45a203addd0fb82485dd16bb,2026-05-09T16:12:47.000Z,0x72f3aa84e78781192b1206605dd2046200c85903d67583dac78db1d209924687,0.018966539145428094,2,0.03793307829085619
0x841499f8f5f869c20886d581641dc181e9c6b672,47,delegate_hot_wallet,YES,polygon,,,,0.0,0,0.0
0xe6643d4bc9ef9a7b4a1d52a5d6b7df97daf6431e,48,staker,YES,ethereum,,,,0.0,0,0.0
0xe6643d4bc9ef9a7b4a1d52a5d6b7df97daf6431e,48,staker,YES,polygon,,,,0.0,0,0.0
0xa4d849e3b972088f72ed2899f2945410cd784ba7,48,delegate_hot_wallet,YES,ethereum,0xf70e77272c9befef43b0517fc88e0213d25b320c,2026-05-22T02:56:35.000Z,0xcbaf6c7370646021e235bfd55f634086d48927090b511d23e45ce68b728534c2,0.005,2,0.015
0xa4d849e3b972088f72ed2899f2945410cd784ba7,48,delegate_hot_wallet,YES,polygon,,,,0.0,0,0.0
0xc514ee0ec7d8cd86d32b60cbbe753f115959ed00,49,staker,YES,ethereum,,,,0.0,0,0.0
0xc514ee0ec7d8cd86d32b60cbbe753f115959ed00,49,staker,YES,polygon,,,,0.0,0,0.0
