walletLower,wallet,sourceGroups,step11F_priority,patterns,priorityReasons,totalYESNotionalUSDC,targetMarketYESNotionalUSDC,futureMarketYESNotionalUSDC,firstRelevantYESBuyUTC,redeemActivityUSDCSize,step11DTokenPathRoles
0xb483d5718da4ac6f2aa39dc933f2043c5a3a0880,0xb483d5718da4ac6f2aa39dc933f2043c5a3a0880,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer,3370.38972,456.46308,2913.92664,2026-06-16T10:48:33+00:00,,
0xc21ddd0c67c26a4fcd1fb2d0600c9d0affb60097,0xc21ddd0c67c26a4fcd1fb2d0600c9d0affb60097,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,3268.45,3268.45,0.0,2026-06-17T23:45:31+00:00,,
0xa3c7c8c3c49427d840f7e62e46d202fae2a53e1f,0xa3c7c8c3c49427d840f7e62e46d202fae2a53e1f,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer,3069.46234,591.45795,2478.00439,2026-06-16T10:48:34+00:00,,
0x5822b9376e50d576ef85e62be0f53434816f8774,0x5822b9376e50d576ef85e62be0f53434816f8774,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,2339.76789,2339.76789,0.0,2026-06-17T21:21:19+00:00,,
0x47b5c94d54cfc48f653c8a74ea516d52122113d0,0x47b5c94d54cfc48f653c8a74ea516d52122113d0,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,1953.43461,1953.43461,0.0,2026-06-17T21:25:32+00:00,,
0x583582716cc49794789cacdf7aeffbdbd0b79404,0x583582716cc49794789cacdf7aeffbdbd0b79404,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,1466.74179,1466.74179,0.0,2026-06-17T22:09:37+00:00,,
0xa970632083b618e6f865fc3f3b711eb0210efd1c,0xa970632083b618e6f865fc3f3b711eb0210efd1c,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,1288.71,1288.71,0.0,2026-06-17T23:38:29+00:00,,
0xc21ea96be762bb55041529af6e386e7c53b80215,0xc21ea96be762bb55041529af6e386e7c53b80215,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,999.0,999.0,0.0,2026-06-17T22:09:37+00:00,,
0xa1b2fd05bfd26b1b5ebfa39959ea7e6dc93140ca,0xa1b2fd05bfd26b1b5ebfa39959ea7e6dc93140ca,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,528.471,528.471,0.0,2026-06-17T23:01:34+00:00,,
0x381b9294c1b95b61d018ff56312fbcc4897c4d74,0x381b9294c1b95b61d018ff56312fbcc4897c4d74,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,299.84985,299.84985,0.0,2026-06-17T23:50:02+00:00,,
0xcd33bf06b0931d91899f9e7914e6d1e57b83cf51,0xcd33bf06b0931d91899f9e7914e6d1e57b83cf51,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,113.19669,113.19669,0.0,2026-06-17T23:53:46+00:00,,
0xed71bd667e3275a72040467827507385c94597c4,0xed71bd667e3275a72040467827507385c94597c4,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,78.40152,78.40152,0.0,2026-06-17T22:25:11+00:00,,
