proxyWalletsFromRedeemActivity,selectedWalletRole,tokenContract,from,to,valueRaw,valueAssuming6Decimals,blockNumber,blockTimestampUTC,transactionHash,logIndex
0x40604cb1f958c03bea0b18aa43e4cb0d62f33ec3; 0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x40604cb1f958c03bea0b18aa43e4cb0d62f33ec3,150550000,150.55,88691831,2026-06-18T00:32:22+00:00,0xe07825bf6e01b83fd8c882ca56a056588fb37ad2b4222aec7a97c90ea36aebba,5518
0x40604cb1f958c03bea0b18aa43e4cb0d62f33ec3; 0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,130000421303,130000.421303,88691831,2026-06-18T00:32:22+00:00,0xe07825bf6e01b83fd8c882ca56a056588fb37ad2b4222aec7a97c90ea36aebba,5649
0xa6f8220dfac596335d6b6719f2a2c7b451cc316d,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0xa6f8220dfac596335d6b6719f2a2c7b451cc316d,30846093329,30846.093329,88691831,2026-06-18T00:32:22+00:00,0xd753b07cc55d8c54adfb9fab38227e2964ab989086207cadadeb36e372120648,5973
0x751a2b86cab503496efd325c8344e10159349ea1,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x751a2b86cab503496efd325c8344e10159349ea1,74542640000,74542.64,88691831,2026-06-18T00:32:22+00:00,0x890b62045fe15bc0dd84f10f975e6a1d1426c3fff4eddf612cbe0a0ce59c9166,7418
0x731a241767938bb23d1b2fac4c9cd2f3cea9033f,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x731a241767938bb23d1b2fac4c9cd2f3cea9033f,43167040000,43167.04,88691831,2026-06-18T00:32:22+00:00,0xa384e311603512fbef9d684c2af7cbe39f212bb3b6e812336466614e740c6a2b,7764
0x88edd092d799556111e57ff3b2107e24dd406cfb,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x88edd092d799556111e57ff3b2107e24dd406cfb,60000170000,60000.17,88691832,2026-06-18T00:32:23+00:00,0x97fd1f92a68a29eba87c6a4cda23765edc98352fadd96f67b5548983b99af336,1361
0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,0,0.0,88691836,2026-06-18T00:32:29+00:00,0xaf7c7ab9e05ee8d04f391058fb5dda98b04e8bf3e57000f85a792458556d3507,1056
0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,0,0.0,88691845,2026-06-18T00:32:43+00:00,0x91a463def7667ceb40a43922d735e0c1afafe2c364a8b09f6571d1b89a0ccf17,568
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,8000000000,8000.0,88691848,2026-06-18T00:32:47+00:00,0x4d64518736d2955a9ffeccb1034e61ad38a472bee8032ee1e44eb61e9f40d845,1144
0x02e7f29f3e612a95a9ccca7131ce7dd5d56b59e5,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x02e7f29f3e612a95a9ccca7131ce7dd5d56b59e5,611610000,611.61,88691848,2026-06-18T00:32:47+00:00,0x5a23a1c73640380bb0e6913b414f7db358c3f844e4d467fd2d3f403ed503910d,1862
